temp,energy
0.000001,-2000000.000000
0.081634,-2000000.000000
0.163266,-2000000.000000
0.244899,-2000000.000000
0.326532,-2000000.000000
0.408164,-2000000.000000
0.489797,-2000000.000000
0.571429,-2000000.000000
0.653062,-1999975.111111
0.734695,-1999850.786787
0.816327,-1999613.433433
0.897960,-1998890.350350
0.979593,-1997633.985986
1.061225,-1995438.594595
1.142858,-1992242.010010
1.224490,-1986554.258258
1.306123,-1979879.723724
1.387756,-1970213.353353
1.469388,-1957138.214214
1.551021,-1939996.604605
1.632654,-1917805.541542
1.714286,-1892715.891892
1.795919,-1858789.377377
1.877552,-1822598.198198
1.959184,-1774680.768769
2.040817,-1714589.829830
2.122449,-1639980.980981
2.204082,-1542288.040040
2.285715,-1427229.545546
2.367347,-1243405.149149
2.448980,-1153246.346346
2.530613,-1081295.075075
2.612245,-1017002.910911
2.693878,-967272.340340
2.775511,-921027.111111
2.857143,-879782.186186
2.938776,-845656.196196
3.020408,-808740.280280
3.102041,-777848.788789
3.183674,-749937.581582
3.265306,-726763.743744
3.346939,-700735.827828
3.428572,-677443.019019
3.510204,-657092.944945
3.591837,-639275.471471
3.673469,-620492.388388
3.755102,-603504.216216
3.836735,-586950.066066
3.918367,-570715.303303
4.000000,-557510.370370
