temp,energy
0.000001,-1999992.000000
0.081634,-2000000.000000
0.163266,-2000000.000000
0.244899,-2000000.000000
0.326532,-2000000.000000
0.408164,-2000000.000000
0.489797,-2000000.000000
0.571429,-2000000.000000
0.653062,-1999957.829830
0.734695,-1999852.476476
0.816327,-1999559.955956
0.897960,-1998880.548549
0.979593,-1997697.329329
1.061225,-1995544.324324
1.142858,-1991685.513514
1.224490,-1986854.202202
1.306123,-1979251.415415
1.387756,-1969751.435435
1.469388,-1956598.850851
1.551021,-1940572.476476
1.632654,-1918994.726727
1.714286,-1893219.335335
1.795919,-1860923.503504
1.877552,-1820736.004004
1.959184,-1774469.169169
2.040817,-1714487.783784
2.122449,-1636845.621622
2.204082,-1540408.220220
2.285715,-1398429.509510
2.367347,-1246478.742743
2.448980,-1153685.569570
2.530613,-1077518.098098
2.612245,-1021722.474474
2.693878,-968679.119119
2.775511,-922801.705706
2.857143,-880535.187187
2.938776,-842113.337337
3.020408,-811607.983984
3.102041,-778246.846847
3.183674,-748723.527528
3.265306,-723802.946947
3.346939,-700099.619620
3.428572,-679880.000000
3.510204,-657932.020020
3.591837,-637290.810811
3.673469,-619729.177177
3.755102,-602655.603604
3.836735,-586342.086086
3.918367,-570655.099099
4.000000,-558627.167167
