temp,magnetisation
0.000001,1
0.081634,0.999998
0.163266,1
0.244899,1
0.326532,1
0.408164,1
0.489797,0.999998
0.571429,0.999999866
0.653062,0.999992811
0.734695,0.999978513
0.816327,0.999914879
0.89796,0.999771455
0.979593,0.999502424
1.061225,0.999045952
1.142858,0.998223576
1.22449,0.997185043
1.306123,0.995609592
1.387756,0.993204805
1.469388,0.990369297
1.551021,0.986239526
1.632654,0.981207285
1.714286,0.97438232
1.795919,0.966192523
1.877552,0.955857778
1.959184,0.942546779
2.040817,0.926975291
2.122449,0.9070876
2.204082,0.882054525
2.285715,0.848791269
2.367347,0.809132979
2.44898,0.757562597
2.530613,0.700161471
2.612245,0.632162863
2.693878,0.56485643
2.775511,0.498336893
2.857143,0.436346675
2.938776,0.377433257
3.020408,0.328758653
3.102041,0.29049763
3.183674,0.257870472
3.265306,0.231928384
3.346939,0.206129111
3.428572,0.186317984
3.510204,0.169537299
3.591837,0.155198404
3.673469,0.142410348
3.755102,0.130317984
3.836735,0.124759021
3.918367,0.115076799
4,0.107589025
