temp,magnetisation
0.000001,-1
0.008017,-1
0.016033,-1
0.024049,-1
0.032065,-1
0.040081,-1
0.048097,-1
0.056113,-1
0.064129,-1
0.072145,-0.999998
0.080161,-1
0.088177,-1
0.096193,-1
0.104209,-1
0.112225,-0.999998
0.120241,-1
0.128257,-1
0.136274,-1
0.14429,-0.999998
0.152306,-1
0.160322,-1
0.168338,-1
0.176354,-1
0.18437,-1
0.192386,-1
0.200402,-1
0.208418,-1
0.216434,-1
0.22445,-1
0.232466,-1
0.240482,-1
0.248498,-1
0.256514,-1
0.26453,-1
0.272546,-1
0.280562,-1
0.288578,-1
0.296594,-1
0.30461,-1
0.312626,-1
0.320642,-1
0.328658,-1
0.336674,-1
0.34469,-1
0.352706,-1
0.360722,-1
0.368738,-1
0.376754,-0.999998
0.38477,-1
0.392786,-1
0.400803,-0.999998
0.408819,-1
0.416835,-1
0.424851,-1
0.432867,-1
0.440883,-1
0.448899,-0.999998
0.456915,-0.999998
0.464931,-1
0.472947,-1
0.480963,-1
0.488979,-0.999998515
0.496995,-1
0.505011,-1
0.513027,-1
0.521043,-1
0.529059,-1
0.537075,-1
0.545091,-1
0.553107,-1
0.561123,-1
0.569139,-1
0.577155,-1
0.585171,-1
0.593187,-1
0.601203,-0.999998
0.609219,-0.999998252
0.617235,-0.999995588
0.625251,-0.999998
0.633267,-0.999996897
0.641283,-0.999987538
0.649299,-0.999991612
0.657315,-0.999990124
0.665331,-0.999985165
0.673348,-0.999995039
0.681364,-0.999985169
0.68938,-0.999989213
0.697396,-0.999990334
0.705412,-0.999982677
0.713428,-0.999979007
0.721444,-0.999971502
0.72946,-0.999968174
0.737476,-0.999981085
0.745492,-0.999960476
0.753508,-0.999963876
0.761524,-0.999950937
0.76954,-0.999952092
0.777556,-0.999945381
0.785572,-0.999950959
0.793588,-0.999931696
0.801604,-0.999934555
0.80962,-0.999912825
0.817636,-0.99988954
0.825652,-0.999895021
0.833668,-0.999891854
0.841684,-0.999853556
0.8497,-0.999860214
0.857716,-0.999849349
0.865732,-0.999843834
0.873748,-0.999826913
0.881764,-0.99980371
0.88978,-0.999787616
0.897796,-0.999753682
0.905812,-0.999722492
0.913828,-0.999747281
0.921844,-0.99968556
0.92986,-0.999706254
0.937877,-0.999666066
0.945893,-0.999616503
0.953909,-0.999618348
0.961925,-0.999626921
0.969941,-0.999564228
0.977957,-0.999509862
0.985973,-0.999502757
0.993989,-0.999410607
1.002005,-0.999432202
1.010021,-0.999386164
1.018037,-0.99933367
1.026053,-0.999235716
1.034069,-0.999231892
1.042085,-0.99913447
1.050101,-0.999137644
1.058117,-0.999066861
