temp,magnetisation
0.000001,-1000000.000000
0.081634,-1000000.000000
0.163266,-1000000.000000
0.244899,-1000000.000000
0.326532,-1000000.000000
0.408164,-1000000.000000
0.489797,-1000000.000000
0.571429,-1000000.000000
0.653062,-999999.071071
0.734695,-999998.932933
0.816327,-999988.832833
0.897960,-999970.316316
0.979593,-999927.451451
1.061225,-999835.579580
1.142858,-999691.775776
1.224490,-999462.346346
1.306123,-998990.536537
1.387756,-998410.264264
1.469388,-997536.996997
1.551021,-996558.998999
1.632654,-995304.320320
1.714286,-993489.331331
1.795919,-991070.106106
1.877552,-988699.339339
1.959184,-985579.975976
2.040817,-981841.121121
2.122449,-977674.576577
2.204082,-972495.393393
2.285715,-967250.682683
2.367347,-960406.062062
2.448980,-953227.745746
2.530613,-945435.335335
2.612245,-937663.253253
2.693878,-927758.102102
2.775511,-916928.946947
2.857143,-905994.124124
2.938776,-892726.918919
3.020408,-881166.096096
3.102041,-867138.026026
3.183674,-852278.098098
3.265306,-836893.497497
3.346939,-821551.241241
3.428572,-805594.010010
3.510204,-787682.894895
3.591837,-771581.041041
3.673469,-750992.872873
3.755102,-734618.752753
3.836735,-717357.551552
3.918367,-698621.441441
4.000000,-680992.880881
