temp,magnetisation
0.000001,999998.000000
0.081634,1000000.000000
0.163266,1000000.000000
0.244899,1000000.000000
0.326532,1000000.000000
0.408164,1000000.000000
0.489797,1000000.000000
0.571429,1000000.000000
0.653062,999989.457457
0.734695,999963.119119
0.816327,999889.171171
0.897960,999716.426426
0.979593,999416.884885
1.061225,998854.286286
1.142858,997854.570571
1.224490,996572.606607
1.306123,994504.980981
1.387756,991835.185185
1.469388,988125.351351
1.551021,983335.463463
1.632654,976657.143143
1.714286,968397.193193
1.795919,957482.332332
1.877552,942480.178178
1.959184,924699.009009
2.040817,896622.224224
2.122449,852044.730731
2.204082,781936.160160
2.285715,591575.959960
2.367347,128305.311311
2.448980,40296.226226
2.530613,-4799.821822
2.612245,8272.796797
2.693878,-2209.173173
2.775511,2289.375375
2.857143,-8960.734735
2.938776,4404.806807
3.020408,-5027.291291
3.102041,5717.395395
3.183674,-1989.507508
3.265306,2850.940941
3.346939,577.633634
3.428572,950.970971
3.510204,4193.483483
3.591837,2369.373373
3.673469,2405.347347
3.755102,2796.796797
3.836735,-2527.425425
3.918367,2903.895896
4.000000,1466.438438
