temp,heat-cap
0.000001,0.000000
0.040405,0.000000
0.080809,0.000000
0.121213,0.000000
0.161617,0.000000
0.202021,0.000000
0.242425,0.000000
0.282829,0.000000
0.323233,0.000000
0.363637,0.000000
0.404041,0.000000
0.444445,0.000000
0.484849,3.661594
0.525253,5.928697
0.565657,19.469364
0.606061,31.298109
0.646465,60.018491
0.686870,109.859992
0.727274,113.569093
0.767678,202.519541
0.808082,272.384015
0.848486,386.341313
0.888890,515.889855
0.929294,611.274222
0.969698,916.132691
1.010102,1051.772773
1.050506,1523.333368
1.090910,1708.043096
1.131314,2157.321485
1.171718,2587.717841
1.212122,2974.162547
1.252526,3632.279309
1.292930,4051.837551
1.333334,4654.798746
1.373738,5461.736305
1.414142,6629.492747
1.454546,6918.417146
1.494950,7638.519309
1.535354,8776.343348
1.575758,9687.447415
1.616162,11365.572537
1.656566,12922.274330
1.696970,13439.302352
1.737374,15433.778485
1.777778,17222.727204
1.818182,19204.767312
1.858586,22222.137411
1.898990,23487.184084
1.939394,24828.755923
1.979798,29525.194541
2.020203,32356.134982
2.060607,38756.259640
2.101011,44056.173919
2.141415,50920.750726
2.181819,53277.739559
2.222223,60339.202430
2.262627,59564.905286
2.303031,57588.411821
2.343435,58434.154879
2.383839,52402.792887
2.424243,48644.691921
2.464647,42217.012881
2.505051,38021.157486
2.545455,29230.973289
2.585859,30754.093039
2.626263,29139.046118
2.666667,25180.461918
2.707071,24500.323903
2.747475,21861.419348
2.787879,20709.908875
2.828283,19801.800441
2.868687,21201.144346
2.909091,17572.411902
2.949495,17093.029964
2.989899,16884.116512
3.030303,14668.330466
3.070707,15412.239609
3.111111,14199.068915
3.151515,14001.626607
3.191919,13070.384851
3.232323,13401.223106
3.272727,11566.577748
3.313131,11604.985193
3.353536,11773.042741
3.393940,11029.802926
3.434344,10721.847968
3.474748,10291.847007
3.515152,9458.317445
3.555556,9484.674681
3.595960,9327.081767
3.636364,9145.480605
3.676768,8747.769809
3.717172,8184.558142
3.757576,8288.907775
3.797980,7525.889071
3.838384,7865.826068
3.878788,7560.807270
3.919192,7516.378360
3.959596,7155.290176
4.000000,7585.956505
