temp,magnetisation
0.000001,0.000000
0.040405,0.000000
0.080809,0.000000
0.121213,0.000000
0.161617,0.000000
0.202021,0.000000
0.242425,0.000000
0.282829,0.000000
0.323233,0.000000
0.363637,0.000000
0.404041,0.000000
0.444445,0.000000
0.484849,0.000000
0.525253,0.000000
0.565657,0.000000
0.606061,0.000000
0.646465,-0.295886
0.686870,-0.479086
0.727274,-1.573282
0.767678,-2.544153
0.808082,-4.869333
0.848486,-8.971333
0.888890,-9.280213
0.929294,-16.504067
0.969698,-22.987111
1.010102,-32.371770
1.050506,-44.456992
1.090910,-53.461827
1.131314,-81.442521
1.171718,-97.744924
1.212122,-137.989784
1.252526,-162.118892
1.292930,-209.064449
1.333334,-255.484523
1.373738,-304.869225
1.414142,-377.735792
1.454546,-453.736298
1.494950,-523.272601
1.535354,-650.437826
1.575758,-802.790801
1.616162,-875.640448
1.656566,-1026.912225
1.696970,-1212.374328
1.737374,-1359.263933
1.777778,-1685.319637
1.818182,-2028.017108
1.858586,-2239.916486
1.898990,-2672.451152
1.939394,-3063.761394
1.979798,-3511.958048
2.020203,-4421.205255
2.060607,-4898.345432
2.101011,-5522.782435
2.141415,-7024.662531
2.181819,-8174.308998
2.222223,-11942.516771
2.262627,-16528.385252
2.303031,-46655.057917
2.343435,-33050.211866
2.383839,-40256.866527
2.424243,-42938.348288
2.464647,-42648.718841
2.505051,-42045.485371
2.545455,-43708.773939
2.585859,-45306.284460
2.626263,-44208.142914
2.666667,-43077.821904
2.707071,-45579.577770
2.747475,-46268.628201
2.787879,-46472.846117
2.828283,-47106.459422
2.868687,-53191.152667
2.909091,-55653.528834
2.949495,-85562.490284
2.989899,-73234.106508
3.030303,-80368.644387
3.070707,-83311.540636
3.111111,-81293.084921
3.151515,-82082.748899
3.191919,-83579.382805
3.232323,-85374.866369
3.272727,-83677.650836
3.313131,-83632.138166
3.353536,-86201.844388
3.393940,-85579.408981
3.434344,-87627.846802
3.474748,-87999.427057
3.515152,-92285.919844
3.555556,-95556.181432
3.595960,-124661.709006
3.636364,-112427.330945
3.676768,-119657.386379
3.717172,-124200.537979
3.757576,-121131.739136
3.797980,-121707.819462
3.838384,-123591.549128
3.878788,-124734.498806
3.919192,-123408.194050
3.959596,-122564.002252
4.000000,-125284.080548
