temp,energy
0.000001,-2000000.000000
0.008017,-2000000.000000
0.016033,-2000000.000000
0.024049,-1999992.000000
0.032065,-2000000.000000
0.040081,-2000000.000000
0.048097,-1999992.000000
0.056113,-2000000.000000
0.064129,-2000000.000000
0.072145,-2000000.000000
0.080161,-1999984.000000
0.088177,-2000000.000000
0.096193,-2000000.000000
0.104209,-1999992.000000
0.112225,-2000000.000000
0.120241,-1999992.000000
0.128257,-2000000.000000
0.136274,-2000000.000000
0.144290,-2000000.000000
0.152306,-2000000.000000
0.160322,-2000000.000000
0.168338,-2000000.000000
0.176354,-2000000.000000
0.184370,-2000000.000000
0.192386,-2000000.000000
0.200402,-2000000.000000
0.208418,-1999992.000000
0.216434,-2000000.000000
0.224450,-2000000.000000
0.232466,-2000000.000000
0.240482,-2000000.000000
0.248498,-2000000.000000
0.256514,-2000000.000000
0.264530,-2000000.000000
0.272546,-2000000.000000
0.280562,-2000000.000000
0.288578,-2000000.000000
0.296594,-2000000.000000
0.304610,-1999968.000000
0.312626,-2000000.000000
0.320642,-2000000.000000
0.328658,-2000000.000000
0.336674,-2000000.000000
0.344690,-2000000.000000
0.352706,-2000000.000000
0.360722,-2000000.000000
0.368738,-2000000.000000
0.376754,-2000000.000000
0.384770,-2000000.000000
0.392786,-2000000.000000
0.400803,-2000000.000000
0.408819,-2000000.000000
0.416835,-2000000.000000
0.424851,-2000000.000000
0.432867,-2000000.000000
0.440883,-2000000.000000
0.448899,-1999992.000000
0.456915,-2000000.000000
0.464931,-2000000.000000
0.472947,-2000000.000000
0.480963,-2000000.000000
0.488979,-2000000.000000
0.496995,-2000000.000000
0.505011,-2000000.000000
0.513027,-2000000.000000
0.521043,-2000000.000000
0.529059,-2000000.000000
0.537075,-2000000.000000
0.545091,-2000000.000000
0.553107,-2000000.000000
0.561123,-2000000.000000
0.569139,-2000000.000000
0.577155,-2000000.000000
0.585171,-2000000.000000
0.593187,-1999979.595596
0.601203,-1999996.812813
0.609219,-1999969.033033
0.617235,-1999964.920921
0.625251,-1999972.244244
0.633267,-1999989.677678
0.641283,-1999981.245245
0.649299,-1999972.428428
0.657315,-1999969.745746
0.665331,-1999962.290290
0.673348,-1999963.075075
0.681364,-1999941.477477
0.689380,-1999964.460460
0.697396,-1999925.069069
0.705412,-1999890.914915
0.713428,-1999900.780781
0.721444,-1999913.305305
0.729460,-1999896.784785
0.737476,-1999820.740741
0.745492,-1999825.361361
0.753508,-1999732.032032
0.761524,-1999727.247247
0.769540,-1999769.057057
0.777556,-1999748.896897
0.785572,-1999669.929930
0.793588,-1999677.025025
0.801604,-1999585.137137
0.809620,-1999580.064064
0.817636,-1999546.410410
0.825652,-1999583.683684
0.833668,-1999475.115115
0.841684,-1999456.552553
0.849700,-1999240.332332
0.857716,-1999166.334334
0.865732,-1999161.573574
0.873748,-1999042.746747
0.881764,-1999034.226226
0.889780,-1999143.271271
0.897796,-1998809.645646
0.905812,-1998811.111111
0.913828,-1998638.710711
0.921844,-1998643.899900
0.929860,-1998426.718719
0.937877,-1998456.876877
0.945893,-1998235.303303
0.953909,-1998076.248248
0.961925,-1998050.038038
0.969941,-1997802.226226
0.977957,-1997841.021021
0.985973,-1997406.358358
0.993989,-1996837.473473
1.002005,-1997156.808809
